,DISTTYPE,IMG,APP,ID,JOB_ID,TASKS_PER_NODE,START_OF_FILE,START_OF_APPLICATION,MAX_STARTUP,MAX_IMPORT,MAX_VISIT,MAX_MPI,MAX_TOTAL,END_OF_APPLICATION,END_OF_FILE,LUSTREBLOCK,SQUASHBLOCK,STRIPE_PATTERN,CLUSTER_NAME,CPUS_PER_NODE,NODECOUNT
101,SQUASHFUSE_LL,/mnt/lustre/rgoff/exp_tree/l_1m/s_1m/one/pynamic.sqfs,PYNAMIC,1541748502.119434309,11417,32(x128),1541748502.149686708,1541748507.240357224,12.1699051857,4.56677103043,32.2285518646,7.19997692108,52.38509726525,1541748562.381557485,1541748565.847268542,1m,1m,one,moon,32,128
102,KERNEL,/mnt/lustre/rgoff/exp_tree/l_1m/s_1k/one/pynamic.sqfs,PYNAMIC,1541739458.964213811,11371,32,1541739458.995260424,1541739459.309430644,2.61859917641,1.74209189415,29.6029009819,6.40967011452,40.2867729664,1541739500.156887366,1541739500.466367344,1m,128k,one,moon,32,1
103,SQUASHFUSE_LL,/mnt/lustre/rgoff/exp_tree/l_1m/s_1k/one/pynamic.sqfs,PYNAMIC,1541736303.894810017,11359,32(x128),1541736303.925323247,1541736309.033814204,6.66206455231,3.07068300247,30.2513639927,7.16024804115,45.44441986081,1541736355.759199141,1541736359.246882153,1m,128k,one,moon,32,128
104,SQUASHFUSE_LL,/mnt/lustre/rgoff/exp_tree/l_64k/s_1k/all/pynamic.sqfs,PYNAMIC,1542171576.731791086,12136,32(x512),1542171576.763036104,1542171596.887305868,6.82802844048,3.15851998329,29.902764082,7.27622485161,45.702048063279996,1542171644.411161260,1542171658.077556148,64k,128k,all,moon,32,512
105,KERNEL,/mnt/lustre/rgoff/exp_tree/l_64k/s_1m/all/pynamic.sqfs,PYNAMIC,1542169620.319545639,12122,32(x1024),1542169620.350407373,1542169628.566063866,3.32170414925,2.81366491318,29.7475590706,7.30757594109,40.73369383816,1542169676.971988780,1542169685.067515890,64k,1m,all,moon,32,1024
106,SQUASHFUSE,/mnt/lustre/rgoff/exp_tree/l_1m/s_1k/two/pynamic.sqfs,PYNAMIC,1541700761.808725265,11211,32,1541700761.838602329,1541700762.993473278,19.6817069054,14.2029240131,28.9300367832,6.38445210457,57.94806480404,1541700824.384530915,1541700825.061956861,1m,128k,two,moon,32,1
107,SQUASHFUSE,/mnt/lustre/rgoff/exp_tree/l_64k/s_1m/two/pynamic.sqfs,PYNAMIC,1541782456.182059622,11577,32(x128),1541782456.211786480,1541782460.314529085,35.5827364922,19.6109669209,31.2329978943,7.14793992043,72.35485815999,1541782537.374718393,1541782539.847355087,64k,1m,two,moon,32,128
108,KERNEL,/mnt/lustre/rgoff/exp_tree/l_1m/s_1m/two/pynamic.sqfs,PYNAMIC,1541778761.307254958,11563,32(x512),1541778761.338401824,1541778765.397797946,2.76182317734,2.06412410736,29.7390329838,7.51314806938,40.4968309403,1541778808.787892723,1541778812.845355484,1m,1m,two,moon,32,512
109,SQUASHFUSE,/mnt/lustre/rgoff/exp_tree/l_1m/s_1m/all/pynamic.sqfs,PYNAMIC,1542159389.911981189,12042,32(x1024),1542159389.943122876,1542159422.059390998,37.0387289524,20.7061860561,31.363754034,7.29123616219,73.64618492129,1542159500.718467042,1542159520.116757140,1m,1m,all,moon,32,1024
110,SQUASHFUSE,/mnt/lustre/rgoff/exp_tree/l_1m/s_1m/two/pynamic.sqfs,PYNAMIC,1542160803.944984164,12056,32(x512),1542160803.974339726,1542160821.556473034,36.7162513733,20.3191649914,32.4148499966,7.23376202583,72.78187656404,1542160898.421111027,1542160908.110886947,1m,1m,two,moon,32,512
111,SQUASHFUSE_LL,/mnt/lustre/rgoff/exp_tree/l_1m/s_1k/two/pynamic.sqfs,PYNAMIC,1541705749.583528983,11239,32(x128),1541705749.614138901,1541705754.606511878,7.69746541977,3.01565790176,30.4846761227,7.18956112862,45.81974148748,1541705802.273887463,1541705805.716005993,1m,128k,two,moon,32,128
112,SQUASHFUSE,/mnt/lustre/rgoff/exp_tree/l_64k/s_1m/two/pynamic.sqfs,PYNAMIC,1541785430.678965574,11588,32(x1024),1541785430.708290930,1541785462.924908290,38.3295128345,21.0052361488,31.7545180321,7.59687209129,72.87000250812,1541785541.630661566,1541785561.124598616,64k,1m,two,moon,32,1024
113,SQUASHFUSE_LL,/mnt/lustre/rgoff/exp_tree/l_64k/s_1k/two/pynamic.sqfs,PYNAMIC,1541827197.223932900,11775,32(x128),1541827197.254678812,1541827202.889602416,11.6586294174,3.1299700737,30.35055089,7.23103094101,49.72483754161,1541827254.258873122,1541827257.746642957,64k,128k,two,moon,32,128
114,SQUASHFUSE,/mnt/lustre/rgoff/exp_tree/l_64k/s_1k/two/pynamic.sqfs,PYNAMIC,1541823830.492552890,11761,32(x512),1541823830.522944488,1541823846.648727430,25.5140502453,16.3387777805,31.5857739449,7.35655283928,60.41622114172,1541823912.639022252,1541823922.257503323,64k,128k,two,moon,32,512
115,KERNEL,/mnt/lustre/rgoff/exp_tree/l_1m/s_1k/two/pynamic.sqfs,PYNAMIC,1542152743.941010499,11985,32,1542152743.971141030,1542152744.282357807,2.62640190125,1.7425968647,29.3586218357,6.46913194656,39.96417498592,1542152784.793751148,1542152785.106248760,1m,128k,two,moon,32,1
116,KERNEL,/mnt/lustre/rgoff/exp_tree/l_1m/s_1k/two/pynamic.sqfs,PYNAMIC,1542149345.931003079,11952,32,1542149345.961760405,1542149346.273838985,2.66004633904,1.76941394806,29.5124080181,6.41076111794,40.12880516051,1542149386.956655649,1542149387.268395967,1m,128k,two,moon,32,1
117,KERNEL,/mnt/lustre/rgoff/exp_tree/l_1m/s_1k/two/pynamic.sqfs,PYNAMIC,1542149390.821366368,11953,32,1542149390.852240386,1542149391.159087224,2.63734817505,1.76176285744,29.027173996,6.40567016602,39.550290823,1542149431.261230527,1542149431.568917653,1m,128k,two,moon,32,1
118,KERNEL,/mnt/lustre/rgoff/exp_tree/l_1m/s_1k/two/pynamic.sqfs,PYNAMIC,1542152699.249563608,11984,32,1542152699.280561593,1542152699.596186956,2.64566874504,1.75906205177,29.1478471756,6.41480517387,39.83965277672,1542152740.960335267,1542152741.273267936,1m,128k,two,moon,32,1
119,SQUASHFUSE,/mnt/lustre/rgoff/exp_tree/l_64k/s_1k/two/pynamic.sqfs,PYNAMIC,1541823649.962689140,11760,32(x512),1541823649.993155642,1541823666.257977924,47.255448103,16.2401921749,30.4058580399,7.24049377441,83.21295809747001,1541823754.385687460,1541823764.059754583,64k,128k,two,moon,32,512
120,SQUASHFUSE_LL,/mnt/lustre/rgoff/exp_tree/l_64k/s_1k/two/pynamic.sqfs,PYNAMIC,1541827077.404958181,11774,32,1541827077.435500359,1541827078.888826425,6.0143430233,2.66006398201,28.9145460129,6.4298081398,43.62392020225,1541827124.230024513,1541827125.215082728,64k,128k,two,moon,32,1
